Detail URL,Title,Salary,Contract Type,Job Type,Location
https://www.reed.co.uk/jobs/lead-product-analyst/52237132?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D27,Lead Product Analyst,"£80,000 - £90,000 per annum",Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/pricing-analyst/52266281?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D28,Pricing Analyst,"£35,000 - £45,000 per annum",Permanent,full-time,Warwick Warwickshire
https://www.reed.co.uk/jobs/finance-analyst/52260337?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D29,Finance Analyst,"£45,000 - £50,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/research-analyst/52071413?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D30,Research Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/finance-analyst/52214904?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D31,Finance Analyst,"£32,000 - £38,000 per annum",Permanent,full-time,Uxbridge Middlesex
https://www.reed.co.uk/jobs/finance-analyst/52147142?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D32,Finance Analyst,"£30,000 - £40,000 per annum, inc benefits",Permanent,full-time,Blackburn Lancashire
https://www.reed.co.uk/jobs/business-analyst/52247426?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D33,Business Analyst,"£65,000 - £75,000 per annum, pro-rata, inc benefits",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/project-manager-business-process-improvement/52256207?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D34,Project Manager Business/ Process Improvement,Salary negotiable,Permanent,full-time,Southampton Hampshire
https://www.reed.co.uk/jobs/finance-analyst/52118467?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D35,Finance Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Leicester Leicestershire
https://www.reed.co.uk/jobs/finance-analyst/52156266?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D36,Finance Analyst,Salary negotiable,Permanent,full-time,Leicester Leicestershire
https://www.reed.co.uk/jobs/business-analyst/52103002?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D37,Business Analyst,"£45,000 - £55,000 per annum",Permanent,full-time,Llantrisant Mid Glamorgan
https://www.reed.co.uk/jobs/junior-business-analyst/52259801?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D38,Junior Business Analyst,"£35,000 per annum",Permanent,full-time,Widnes Cheshire
https://www.reed.co.uk/jobs/financial-systems-analyst/52118304?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D39,Financial Systems Analyst,"£34,000 - £37,000 per annum",Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/finance-analyst/52218936?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D40,Finance Analyst,Salary negotiable,Permanent,full-time,Redruth Cornwall
https://www.reed.co.uk/jobs/finance-analyst/52227383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D41,Finance Analyst,"£26,000 - £30,000 per annum",Permanent,full-time,Bradford West Yorkshire
https://www.reed.co.uk/jobs/finance-analyst/52160684?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D42,Finance Analyst,"£55,000 - £65,000 per annum",Contract,full-time,West London London
https://www.reed.co.uk/jobs/pricing-analyst/52118144?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D43,Pricing Analyst,"£35,000 - £50,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/finance-analyst/52278305?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D44,Finance Analyst,"£46,000 - £56,000 per annum",Contract,full-time,London South East England
https://www.reed.co.uk/jobs/digital-analytics-lead/51962952?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D45,Digital Analytics Lead,"£55,000 - £65,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/finance-analyst/52254501?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D46,Finance Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,London South East England
